[02:02:57] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[02:02:59] [ServerMain/INFO]: Loaded 7 recipes
[02:02:59] [ServerMain/INFO]: Loaded 1271 advancements
[02:03:00] [Server thread/INFO]: Starting minecraft server version 1.20.1
[02:03:00] [Server thread/INFO]: Loading properties
[02:03:00] [Server thread/INFO]: Default game type: SURVIVAL
[02:03:00] [Server thread/INFO]: Generating keypair
[02:03:00] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:03:00] [Server thread/INFO]: Using epoll channel type
[02:03:00] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[02:03:00] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[02:03:00] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[02:03:00] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[02:03:00] [Server thread/INFO]: Preparing level "world"
[02:03:08] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[02:03:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:03:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:03:09] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:03:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:03:10] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:03:11] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:03:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:03:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:03:12] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[02:03:13] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[02:03:13] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[02:03:14] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[02:03:14] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[02:03:15] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[02:03:15] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[02:03:16] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[02:03:16] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[02:03:17] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[02:03:17] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[02:03:18] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[02:03:18] [Worker-Main-1/INFO]: Preparing spawn area: 11%
[02:03:19] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[02:03:19] [Worker-Main-1/INFO]: Preparing spawn area: 14%
[02:03:20] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[02:03:20] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[02:03:21] [Worker-Main-1/INFO]: Preparing spawn area: 18%
[02:03:21] [Worker-Main-1/INFO]: Preparing spawn area: 20%
